"Name","Team","Age","AB","R","HR","RBI","SB","AVG","BB%","K%","LD%","GB%","FB%","IFFB%","IFH%","BUH%","Spd","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","TTO%","EV","LA","Barrel%","maxEV","HardHit%","CStr%","CSW%","playerid"
"Kris Bryant","- - -","29","513","86","25","73","10",".265","10.6%","23.0%","23.4%","37.4%","39.2%","8.1%","10.6%","0.0%","4.8","30.3%","76.8%","48.7%","54.1%","86.3%","74.1%","39.5%","60.8%","12.6%","41.3%","36.6%","22.1%","16.8%","47.1%","36.1%","37.9%","88.2","15.1","10.3%","110.4","39.7%","13.4%","26.0%","15429"
"Matt Vierling","PHI","24","71","11","2","6","2",".324","5.2%","26.0%","25.0%","53.8%","21.2%","9.1%","7.1%","0.0%","7.1","29.3%","63.2%","44.7%","62.5%","88.4%","79.1%","45.3%","66.2%","9.3%","30.8%","36.5%","32.7%","11.5%","50.0%","38.5%","33.8%","91.5","6.3","3.8%","111.5","53.8%","21.3%","30.7%","21558"
"Rafael Ortega","CHC","30","296","44","11","33","12",".291","9.1%","21.2%","25.1%","33.6%","41.3%","14.1%","8.0%","20.0%","5.3","28.3%","67.5%","44.2%","64.0%","90.7%","80.5%","40.5%","56.7%","8.6%","46.5%","29.8%","23.7%","15.4%","57.0%","27.6%","33.6%","88.3","18.3","5.7%","109.5","34.6%","17.4%","26.0%","10323"
"Adam Engel","CHW","29","123","21","7","18","7",".252","7.9%","22.1%","22.6%","41.9%","35.5%","18.2%","2.6%","0.0%","5.9","36.8%","70.5%","50.9%","56.9%","86.9%","74.3%","41.9%","61.4%","13.1%","40.9%","36.6%","22.6%","23.7%","45.2%","31.2%","35.0%","86.8","14.4","8.6%","109.8","36.6%","13.5%","26.6%","15082"
"Franmil Reyes","CLE","25","418","57","30","85","4",".254","9.2%","32.0%","17.6%","46.3%","36.0%","11.2%","7.1%","0.0%","3.9","29.7%","70.0%","45.3%","54.6%","78.0%","68.6%","38.8%","54.9%","14.2%","40.4%","37.9%","21.7%","15.4%","40.8%","43.8%","47.6%","92.0","9.7","16.9%","114.9","48.5%","15.5%","29.7%","14566"
"Jose Abreu","CHW","34","566","86","30","117","1",".261","9.3%","21.7%","18.7%","46.4%","34.9%","5.3%","5.0%","0.0%","2.8","35.9%","66.5%","48.3%","60.6%","86.0%","74.8%","40.7%","62.1%","12.2%","40.4%","35.6%","24.0%","12.2%","50.3%","37.4%","35.5%","92.0","10.4","10.2%","115.6","49.0%","16.2%","28.4%","15676"
"Bo Bichette","TOR","23","640","121","29","102","25",".298","5.8%","19.9%","20.5%","49.1%","30.4%","6.5%","6.0%","0.0%","6.0","42.5%","80.8%","57.8%","68.7%","88.9%","80.0%","40.1%","64.6%","11.6%","29.4%","37.1%","33.5%","14.8%","48.9%","36.3%","29.9%","91.4","7.3","9.9%","115.5","47.5%","10.3%","21.9%","19612"
"Spencer Howard","- - -","24","6","0","0","0","0",".333","0.0%","42.9%","0.0%","66.7%","33.3%","0.0%","0.0%","0.0%","0.1","5.9%","52.9%","29.4%","100.0%","66.7%","70.0%","50.0%","28.6%","8.8%","25.0%","0.0%","75.0%","25.0%","75.0%","0.0%","42.9%","87.6","-14.8","0.0%","95.7","25.0%","29.4%","38.2%","23252"
"Ty France","SEA","26","571","85","18","73","0",".291","7.1%","16.3%","22.9%","45.6%","31.4%","7.4%","6.5%","0.0%","1.9","34.1%","73.8%","50.3%","68.3%","92.2%","82.6%","40.8%","58.0%","8.7%","38.0%","38.4%","23.6%","17.2%","49.3%","33.5%","26.2%","88.5","11.0","6.8%","111.1","38.9%","14.0%","22.8%","17982"
"Alfonso Rivas","CHC","24","44","7","1","3","0",".318","8.2%","32.7%","17.9%","50.0%","32.1%","0.0%","0.0%","0.0%","1.7","25.6%","64.7%","41.4%","56.3%","83.6%","73.6%","40.5%","44.9%","11.0%","39.3%","32.1%","28.6%","0.0%","78.6%","21.4%","42.9%","88.4","10.2","3.6%","107.8","32.1%","19.5%","30.5%","21560"
