Name,Team,G,playerid
Alexis Diaz,CIN,59,21132
Dany Jimenez,OAK,34,21170
Humberto Castellanos,ARI,11,21183
Connor Brogdon,PHI,47,21205
Bailey Ober,MIN,11,21224
Jake Bird,COL,38,21267
Lucas Gilbreath,COL,47,21290
Andre Jackson,LAD,4,21298
Tylor Megill,NYM,15,21318
Bryce Montes de Oca,NYM,3,21319
Parker Mushinski,HOU,7,21324
Nicholas Padilla,CHC,1,21327
Bennett Sousa,CHW,25,21345
Glenn Otto,TEX,27,21366
Peter Strzelecki,MIL,30,21367
Joe Ryan,MIN,27,21390
Yerry De Los Santos,PIT,26,21420
Ryan Feltner,COL,20,21446
Davis Martin,CHW,14,21448
Konnor Pilkington,CLE,15,21453
Kris Bubic,KCR,28,21455
Cole Sands,MIN,11,21461
Sean Hjelle,SFG,8,21481
Shane McClanahan,TBR,29,21483
Daniel Lynch,KCR,27,21537
Reiss Knehr,SDP,5,21541
Jackson Kowar,KCR,7,21549
Brendon Little,CHC,1,21574
Jake Cousins,MIL,12,21620
Elvis Peguero,LAA,13,21652
Kervin Castro,- - -,10,21656
Edward Cabrera,MIA,14,21690
Javier Assad,CHC,9,21741
Jose Marte,LAA,11,21761
Braxton Garrett,MIA,17,21844
Cole Ragans,TEX,9,21846
Mason Thompson,WSN,24,21850
Gregory Santos,SFG,2,21894
Yerry Rodriguez,TEX,1,21955
Max Castillo,- - -,14,21956
Camilo Doval,SFG,68,21992
Luis Frias,ARI,15,21997
Angel Rondon,STL,1,22036
John King,TEX,39,22051
Aaron Fletcher,PIT,9,22052
Kyle Tyler,SDP,2,22092
Max Kranick,PIT,2,22175
Easton McGee,TBR,1,22176
Hunter Greene,CIN,24,22182
MacKenzie Gore,SDP,16,22201
DL Hall,BAL,11,22207
Jeremiah Estrada,CHC,5,22210
Jon Heasley,KCR,21,22224
Logan Gilbert,SEA,32,22250
Shane Baz,TBR,6,22264
Tarik Skubal,DET,21,22267
Dylan Coleman,KCR,68,22276
Trevor Rogers,MIA,23,22286
Matthew Liberatore,STL,9,22294
Joe Barlow,TEX,35,22296
Angel De Jesus,DET,8,22323
A.J. Alexy,TEX,4,22343
Colin Holderman,- - -,24,22361
Josh Winckowski,BOS,15,22387
Logan Gillaspie,BAL,17,22461
Johan Oviedo,- - -,21,22487
Carlos Hernandez,KCR,27,22713
Angel Zerpa,KCR,3,22717
Roansy Contreras,PIT,21,22810
Luis Patino,TBR,6,22815
Francisco Morales,PHI,3,22913
Joan Adon,WSN,14,22925
Michael Plassmeyer,PHI,2,23191
Michael Grove,LAD,7,23221
Spencer Howard,TEX,10,23252
Packy Naughton,STL,26,23292
Janson Junk,LAA,3,23301
Collin Snider,KCR,42,23307
Damon Jones,PHI,4,23310
Jose Butto,NYM,1,23313
Freddy Tarnok,ATL,1,23324
Beau Sulser,- - -,10,23420
Jared Solomon,CIN,9,23425
JP Sears,- - -,17,23429
Brandon Hughes,CHC,57,23460
Tommy Romero,- - -,4,23465
Ron Marinaccio,NYY,40,23488
Nicklaus Snyder,TEX,2,23493
Aaron Ashby,MIL,27,23550
Luis Garcia,HOU,28,23735
Justin Bruihl,LAD,24,23779
Ryan Weathers,SDP,1,23796
Ray Kerr,SDP,7,23809
Brayan Bello,BOS,13,23920
Ronny Henriquez,MIN,3,24094
Simeon Woods Richardson,MIN,1,24494
Josiah Gray,WSN,28,24580
Kyle Bradish,BAL,23,24586
Josh Winder,MIN,15,24606
Frank German,BOS,5,24750
Ethan Roberts,CHC,9,24930
Andrew Wantz,LAA,42,24933
Austin Warren,LAA,14,24937
Cooper Criswell,TBR,1,24975
Evan Lee,WSN,4,24988
Alex Vesia,LAD,63,25007
William Woods,ATL,2,25075
Cam Alldred,PIT,1,25078
Garrett Hill,DET,17,25097
Penn Murfee,SEA,64,25174
Nick Mears,PIT,2,25376
Brady Singer,KCR,27,25377
Sammy Long,SFG,28,25379
Drew Rasmussen,TBR,28,25385
Cody Morris,CLE,7,25388
Nash Walters,LAA,1,25413
Gavin Hollowell,COL,6,25427
George Kirby,SEA,25,25436
Nate Fisher,NYM,1,25512
Xzavion Curry,CLE,2,25595
Hunter Gaddis,CLE,2,25636
Cole Waites,SFG,7,25665
Matt Brash,SEA,39,25756
Noah Davis,COL,1,25862
Hunter Brown,HOU,7,25880
Yennier Cano,- - -,13,25911
Zack Thompson,STL,22,25918
Andrew Nardi,MIA,13,25942
Beau Brieske,DET,15,26079
Andre Pallante,STL,47,26108
Caleb Kilian,CHC,3,26213
Ryan Pepiot,LAD,9,26221
Tyler Holton,ARI,10,26231
Ryne Nelson,ARI,3,26253
Drey Jameson,ARI,4,26260
Tommy Henry,ARI,9,26285
Bryan Hoeing,MIA,8,26304
Ethan Small,MIL,2,26364
Nick Lodolo,CIN,19,26378
Alek Manoah,TOR,31,26410
Reid Detmers,LAA,25,27468
Cade Cavalli,WSN,1,27473
Max Meyer,MIA,2,27474
Spencer Strider,ATL,31,27498
Kohei Arihara,TEX,5,27505
Hirokazu Sawamura,BOS,49,27515
Jared Koenig,OAK,10,27517
Graham Ashcraft,CIN,19,27552
Hayden Wesneski,CHC,6,27581
Luis Ortiz,PIT,4,27646
